Year	Station	Annual_DIN_flux	precip	precip_JJAS	precip_JAS	precip_JASO	precip_ASO	pre_gt_10	pre_gt_20	pre_gt_10_JJAS	pre_gt_20_JJAS	pre_gt_10_JAS	pre_gt_20_JAS	pre_gt_10_JASO	pre_gt_20_JASO	pre_gt_10_ASO	pre_gt_20_ASO	R90pTOT	R95pTOT	R99pTOT	R90pTOT_JJAS_1	R95pTOT_JJAS_1	R99pTOT_JJAS_1	R90pTOT_JAS_1	R95pTOT_JAS_1	R99pTOT_JAS_1	R90pTOT_JASO_1	R95pTOT_JASO_1	R99pTOT_JASO_1	R90pTOT_ASO_1	R95pTOT_ASO_1	R99pTOT_ASO_1	R90pTOT_JJAS_2	R95pTOT_JJAS_2	R99pTOT_JJAS_2	R90pTOT_JAS_2	R95pTOT_JAS_2	R99pTOT_JAS_2	R90pTOT_JASO_2	R95pTOT_JASO_2	R99pTOT_JASO_2	R90pTOT_ASO_2	R95pTOT_ASO_2	R99pTOT_ASO_2	temp_annual	temp_JJAS	temp_JAS	temp_JASO	temp_ASO	fert_kgN_km2	ln_fert	fert_dep_kgN_km2	ln_fert_dep	LSC_MCM	LSC_MCM_mm	LSC
2005	Urachikottai	689.805257047867	1256.9360835924	576.248870437	471.287681937	802.420902737	623.254118937	43	9	17	5	14	5	30	8	25	6	553.1583	382.40268	134.12444	223.98812	148.80047	85.86559	223.98812	148.80047	85.86559	450.82902	306.43475	134.12444	363.31113	256.2622	107.96533	235.65925	148.80047	59.70648	223.98812	148.80047	59.70648	378.97251	273.02806	107.96533	315.77985	170.97882	79.99137	24.2754813928334	24.2363690752688	23.9278837670251	23.8731295440188	23.8033333705197	4367.11920547192	8.38185884999231	4754.8356114459	8.46691740265651	8062.19	6.41416067629928	0.145445820324247
2006	Urachikottai	383.847939412712	842.780536802529	413.11911333	283.79270243	385.80312963	285.25622413	16	1	6	0	3	0	4	0	4	0	154.57255	64.22417	27.38593	44.06618	18.7107	0	25.35548	0	0	39.00762	0	0	39.00762	0	0	55.44475	18.7107	0	25.35548	0	0	26.99173	0	0	0	0	0	24.1338928148817	24.1755360080645	24.008613344086	24.0223855549395	24.0211256861559	4502.42195841787	8.4123707439555	4900.29990224268	8.49705168676512	8062.19	9.56617962558507	0.216920172915761
2007	Urachikottai	355.512527552843	976.6432894832	566.7411015982	468.4270826982	652.7494214362	503.0249054362	36	4	20	2	18	1	27	3	22	3	383.14874	167.31357	26.85558	183.54027	46.86189	0	147.69828	24.71788	0	284.04246	108.6639	26.85558	256.91544	108.6639	26.85558	218.0016	46.86189	0	159.39095	24.71788	0	196.79636	91.78488	0	168.61004	91.78488	0	24.0484357480159	23.9179945349462	23.6385039354839	23.6506102096774	23.5381900645161	4378.61648119749	8.38448808159974	4786.65596287313	8.47358731776304	8068.78	8.26174723861531	0.187341207224837
2008	Urachikottai	150.886731341554	975.999299331697	508.442808377	428.516520077	585.915366857	453.882095457	25	2	13	2	12	2	17	2	14	2	310.72226	184.95761	32.94664	185.39291	129.3302	32.94664	167.56492	111.50221	32.94664	195.88923	111.50221	32.94664	147.50093	76.63708	32.94664	197.03299	144.64637	32.94664	167.56492	111.50221	32.94664	183.67812	94.82146	32.94664	121.74061	76.63708	32.94664	23.9688585997096	24.0725170349462	23.8695558243728	23.8741597715054	23.7569834587814	5013.54017926321	8.51989756714613	5431.74119878967	8.6000150242872	8068.78	8.2671985579549	0.187464819908274
2009	Urachikottai	104.529014284391	900.599322487633	557.63849762	469.0613354	533.238234549	385.326196449	22	4	15	3	13	3	14	3	9	3	323.06098	210.52136	60.8998	206.77451	150.89187	60.8998	192.38513	150.89187	60.8998	207.11748	150.89187	60.8998	175.43409	132.08301	60.8998	218.26328	166.97559	60.8998	192.38513	166.97559	60.8998	194.58247	101.23368	60.8998	162.89908	82.42482	60.8998	24.3522142405914	24.315570577957	24.0919456594982	24.0533240833333	24.112654046595	5076.362649529	8.53235027023992	5504.72520690629	8.6133621309093	8068.78	8.95934495899068	0.203159749636977
2010	Urachikottai	NA	1066.6016216785	521.94069735	406.05854514	547.00322532	410.83310632	31	7	14	2	11	2	16	3	13	2	411.96003	233.64392	89.43565	163.70812	70.4709	28.31387	130.29677	51.12342	28.31387	199.10968	90.76254	28.31387	162.82732	67.95299	28.31387	163.70812	70.4709	28.31387	130.29677	51.12342	28.31387	162.57405	90.76254	28.31387	126.29169	50.79631	28.31387	24.4798405381464	24.2750293360215	23.9797578924731	24.0215839032258	23.9202641290323	5356.02817172087	8.58597796664056	5794.55226694898	8.66467349083023	8068.78	7.5649425577492	0.171540647568009
2011	Urachikottai	NA	1084.09288974662	583.407777525	444.230965085	577.212307565	431.720321965	30	4	16	2	13	2	16	2	12	2	402.21048	235.30265	89.22121	183.31025	100.34807	26.17618	134.75388	65.74698	26.17618	178.8763	82.59133	26.17618	146.82767	66.16581	26.17618	194.61133	131.93521	26.17618	134.75388	81.71101	0	142.07358	49.32146	0	96.84991	49.32146	0	24.0039932565924	24.0928135053763	23.9152500071685	24.0555247634409	24.0620830179211	5992.92330470949	8.69833460289749	6441.41767219648	8.77050393030638	8068.78	7.44288619205491	0.168772929525055
2012	Urachikottai	NA	884.76732531067	551.13120107757	327.97464482757	417.06366443757	300.27859307757	24	6	14	3	5	1	7	2	6	2	353.04948	258.13144	144.24209	206.51686	151.29266	60.59103	72.90265	45.25313	28.56393	104.85942	77.2099	60.5207	88.17022	60.5207	60.5207	229.47906	151.29266	60.59103	72.90265	45.25313	28.56393	104.85942	60.5207	60.5207	75.27221	60.5207	60.5207	24.4150369530342	24.5586155430108	24.2781536129032	24.2148132741935	24.1366409247312	4745.91977615894	8.46504053338865	5204.38441590479	8.55725670621718	8068.78	9.11966318056196	0.206795083459455
2013	Urachikottai	NA	865.3949466439	543.87423985	420.75737305	535.215985893	406.339256083	17	4	11	3	9	2	12	3	10	3	250.25546	126.80999	62.10994	170.14601	102.23153	62.10994	128.13809	72.5678	32.44621	165.27465	97.14626	32.44621	149.47084	97.14626	32.44621	181.81903	118.03534	62.10994	128.13809	88.37161	32.44621	140.15839	80.51462	32.44621	97.14626	80.51462	32.44621	24.3546481337686	23.7922666182796	23.7354517132617	23.8399457204301	23.9794996702509	4766.99820433476	8.46947207851811	5235.43311633948	8.56320485461764	8068.78	9.32381224467701	0.211424313938254
2014	Urachikottai	NA	938.437943752569	494.77476247	411.78491426	635.6141174744	512.7132848144	18	8	9	5	8	4	15	6	15	6	309.97916	281.85879	32.87999	153.21126	137.67631	32.87999	120.33127	104.79632	0	252.18073	224.06036	0	252.18073	224.06036	0	153.21126	153.21126	32.87999	120.33127	104.79632	0	239.59531	190.78386	0	239.59531	173.68415	0	24.5734698870968	24.6873922768817	24.2662021469534	24.2828807231183	24.2748727921147	5084.50204213859	8.53395237687111	5562.90722640217	8.62387613303567	8068.78	8.59809650037705	0.194968174611725
2015	Urachikottai	NA	1071.29571466439	469.46833022	317.85615187	439.94856258639	389.91392125639	31	11	14	5	10	5	13	8	13	8	457.60256	315.07893	78.85309	197.96585	132.0725	0	156.86813	132.0725	0	223.36286	198.56723	0	223.36286	198.56723	0	197.96585	132.0725	0	156.86813	132.0725	0	211.5746	198.56723	0	198.56723	180.19784	0	24.5522951528418	24.9857005241935	24.9685831433692	24.9016841317204	24.8891635734767	5410.61091590678	8.59611728892297	5898.98637242922	8.6825358138511	8068.78	7.53179527328525	0.170789008464518
